developer,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01
dev_EvanXzj,0,0,0,0,0,3,0,0,2,0,0,0
dev_frarillotta,0,0,0,0,0,0,2,0,0,0,0,0
dev_chron0,1,0,0,0,0,0,0,0,0,0,0,0
dev_pinalbhatt,0,0,3,1,0,0,0,0,0,0,0,0
dev_CharlesStover,0,0,0,0,0,0,0,0,0,0,1,0
dev_abhijitk7,0,0,0,0,0,0,0,0,0,0,1,0
dev_lenzls,0,0,0,0,0,0,2,0,0,0,0,0
dev_mangelozzi,0,0,0,0,0,0,0,2,0,0,0,0
dev_jimisaacs,0,1,3,0,0,0,0,0,0,0,0,0
dev_bolan9999,0,0,0,0,0,0,0,0,0,1,0,0
dev_C0ZEN,0,0,0,0,0,0,0,1,0,0,0,0
dev_andreev-danila,0,0,0,0,0,0,0,1,0,0,0,0
dev_smhmd,0,0,0,0,0,0,0,0,0,0,0,3
dev_daniielgak,0,1,0,0,0,0,0,0,0,0,0,0
dev_karlhorky,0,0,0,3,0,0,0,0,0,0,0,0
dev_artemirq,0,0,0,2,0,0,0,0,0,0,0,0
dev_tminhduc2811,0,0,0,0,0,0,0,0,1,0,0,0
dev_andrewMuntyan,0,0,0,0,0,0,0,0,0,0,0,1
dev_Ton-O,1,0,0,0,0,0,0,0,0,0,0,0
dev_zmariscal,0,0,0,1,0,1,0,0,0,0,0,0
dev_jackton1,0,0,0,0,0,0,1,0,0,0,0,0
dev_jotahws,0,0,1,0,0,0,0,0,0,0,0,0
dev_Hirbod,0,0,0,0,0,0,0,0,0,0,0,14
dev_W-ChenAMG,0,0,0,0,0,0,0,0,1,0,1,0
dev_Sebi2020,0,0,0,0,0,0,0,0,0,0,0,1
dev_robd003,0,0,0,0,0,0,0,0,0,0,1,0
dev_zzzkasper-1995,1,0,0,0,0,0,0,0,0,0,0,0
dev_SwerBillionaire,0,0,0,1,0,0,0,0,0,0,0,0
dev_VelislavP,1,0,0,0,0,0,0,0,0,0,0,0
dev_benmccann,1,0,0,0,0,0,0,0,0,0,0,0
dev_rodolfo3,0,1,0,0,0,0,0,0,0,0,0,0
dev_imjordanxd,0,1,0,0,0,0,0,0,0,0,0,0
dev_juergba,0,0,0,0,0,0,1,0,0,0,0,0
dev_simonedavico,0,0,0,0,0,0,0,0,0,0,0,4
dev_vandrieu,1,1,0,0,0,0,0,0,0,0,0,0
dev_gorhom,0,2,0,0,0,0,0,0,0,0,0,1
dev_mattpfeffer,0,0,1,0,0,0,0,0,0,0,0,0
dev_GiridharKarnik,0,0,1,0,0,0,0,0,0,0,0,0
dev_BotirovElmurod,0,0,0,1,0,0,0,0,0,0,0,0
dev_MeganRook18,0,0,1,0,0,0,0,0,0,0,0,0
dev_kellyselden,0,0,0,1,0,0,0,0,0,0,0,0
dev_retorquere,0,0,0,0,0,0,0,0,0,0,0,1
dev_brittneykernan,2,0,0,0,0,0,0,0,0,0,0,0
dev_johuder33,0,1,0,0,0,0,0,0,0,0,0,0
dev_angelmgl,0,0,0,2,0,0,0,0,0,0,0,0
dev_davidlsharp1,0,1,0,0,0,0,0,0,0,0,0,0
dev_yairEO,1,0,0,0,0,0,0,0,0,0,0,0
dev_David-Chaille,0,0,0,0,0,1,0,0,0,0,0,0
dev_Elias-cug,0,0,0,0,1,0,0,0,0,0,0,0
dev_KenCorma,2,0,0,0,0,0,0,0,0,0,0,0
dev_gardengeek99,0,0,0,0,0,0,0,0,0,0,1,0
dev_Marceloasf,0,0,0,0,0,0,0,0,0,0,0,1
dev_tz4678,0,1,0,0,0,0,0,0,0,0,0,0
dev_Kaicha,0,0,0,0,0,0,0,0,0,0,0,1
dev_RicardoBrito1938,0,3,0,0,0,0,0,0,0,0,0,0
dev_dittyroma,0,0,0,0,0,3,0,0,0,0,0,0
dev_robhowell,0,0,0,1,0,0,0,0,0,0,0,0
dev_HadiKhalifeh,0,0,0,0,0,1,0,0,0,0,0,0
dev_mbrevda,0,0,0,1,0,0,0,0,0,0,0,0
dev_MarufSharifi,0,0,0,0,0,1,0,0,0,0,0,0
dev_PizzaPete,0,3,0,0,0,0,0,0,0,0,0,0
dev_vyobukhov,0,0,0,0,0,0,0,1,0,0,0,0
dev_polkovnikov-ph,0,0,0,0,0,0,0,1,0,0,0,0
dev_WoLewicki,34,15,24,0,0,0,0,0,0,0,0,1
dev_ryanblock,0,0,0,0,0,0,1,0,0,0,0,0
dev_schinery,0,1,0,0,0,0,0,0,0,0,0,0
dev_nopeless,0,0,0,0,0,0,0,0,0,0,1,4
dev_wheelmaker24,0,1,0,0,0,0,0,0,0,0,0,0
dev_aspiiire,0,0,0,0,0,0,0,0,1,0,0,0
dev_mezentsv,2,0,0,0,0,0,0,0,0,0,0,0
dev_SzNagyMisu,0,0,0,0,0,0,0,0,0,0,1,0
dev_rsnigel,0,0,0,0,0,1,0,0,0,0,0,1
dev_jmarshall9120,1,0,0,0,0,0,0,0,0,0,0,0
dev_BridgeAR,0,0,0,0,0,0,0,0,22,23,5,6
dev_PhiLhoSoft,0,0,0,0,0,0,0,1,0,0,0,0
dev_Archanamalviya,0,0,0,0,0,0,0,0,0,0,0,1
dev_JeanJoskin,0,0,0,0,0,0,1,0,0,0,0,0
dev_cbbfcd,0,0,0,0,0,0,2,0,0,2,0,0
dev_bj00rn,0,0,1,0,0,0,0,0,0,0,0,0
dev_Douglas-Hsieh,0,0,0,0,0,0,0,0,0,0,0,1
dev_Klemminn,0,0,0,1,0,0,0,0,0,0,0,0
dev_luisenricke,0,0,0,0,0,0,0,0,1,0,0,0
dev_ChristianBoehlke,0,1,0,0,0,0,0,0,0,0,0,0
dev_zackseuberling,0,0,0,0,0,0,0,1,0,0,0,0
dev_Jmolenberghs,0,0,0,0,0,0,0,2,0,0,0,0
dev_hatem-72,0,0,0,0,0,0,0,0,0,0,0,3
dev_soryuu,0,0,0,0,1,0,0,0,0,0,0,0
dev_TerrySmithDC,0,0,3,0,0,0,0,0,0,0,0,0
dev_xavierfoucrier,0,0,0,0,0,1,0,0,0,1,0,0
dev_mrtcmn,0,0,0,0,0,0,0,1,0,0,0,0
dev_mzagaja,1,0,0,0,0,0,0,0,0,0,0,0
dev_KenKluskens,0,0,0,0,0,0,0,1,0,0,0,0
dev_martpie,0,0,0,0,0,1,0,0,0,0,0,0
dev_ddolcimascolo,0,0,0,0,0,0,0,0,0,0,1,0
dev_sindresorhus,6,0,0,3,2,4,0,0,0,2,1,0
dev_mateusloubach,0,0,0,0,0,0,0,0,0,0,0,1
dev_Jytesh,0,0,0,0,0,0,0,0,0,1,0,0
dev_lukemovement,0,0,1,0,0,0,0,0,0,0,0,0
dev_Mobiletainment,0,0,1,0,0,0,0,0,0,0,0,0
dev_agraves,0,0,1,0,0,0,0,0,0,0,0,0
dev_Aisen60,0,0,0,0,0,0,0,1,0,0,0,0
dev_dragoscirjan,0,0,0,0,0,0,0,0,1,0,0,0
dev_OnkelTem,0,0,3,2,0,0,0,0,0,0,0,0
dev_flo-sch,0,0,0,8,0,0,0,0,0,0,0,0
dev_locks,3,0,0,0,0,0,0,0,0,0,0,0
dev_simonecorsi,0,0,0,0,0,1,1,0,0,0,0,0
dev_jim-at-jibba,0,2,0,0,0,0,0,0,0,0,0,0
dev_zackdotcomputer,1,4,0,0,0,0,0,0,1,0,0,0
dev_akhileshsinha,1,0,0,0,0,0,0,0,0,0,0,0
dev_mgabeler-lee-6rs,1,0,0,0,0,0,0,0,0,0,0,0
dev_benedusi,0,0,0,1,0,0,0,0,0,0,0,0
dev_pablomongo,0,0,0,0,0,0,0,0,0,0,0,1
dev_ezeeyahoo,0,0,0,1,0,0,0,0,0,0,0,0
